정류장번호,위도,경도,도시명
1189,35.18755556,126.8896528,광주광역시
1190,35.18743056,126.8891583,광주광역시
1191,35.140992,126.92149,광주광역시
1192,35.140989,126.921794,광주광역시
1193,35.15083889,126.9201778,광주광역시
1196,35.15073611,126.920125,광주광역시
1198,35.052477,126.908961,광주광역시
1199,35.17503333,126.9124722,광주광역시
1200,35.17497222,126.9126472,광주광역시
1201,35.17645278,126.9122528,광주광역시
1202,35.17686389,126.9123667,광주광역시
1204,35.16917778,126.9026083,광주광역시
1205,35.16901389,126.9021806,광주광역시
1206,35.16846389,126.9044611,광주광역시
1207,35.168528,126.905346,광주광역시
1208,35.17175278,126.902325,광주광역시
1209,35.17156944,126.90325,광주광역시
1210,35.17009722,126.9038222,광주광역시
1211,35.170201,126.904101,광주광역시
1212,35.15916389,126.9442083,광주광역시
1213,35.15919444,126.9439722,광주광역시
1214,35.20651389,126.8427444,광주광역시
1215,35.20613611,126.8446194,광주광역시
1218,35.20549722,126.8440028,광주광역시
1219,35.15242778,126.7928306,광주광역시
1220,35.15278611,126.7929889,광주광역시
1221,35.05401111,126.9979917,광주광역시
1222,35.12769722,126.9069333,광주광역시
1223,35.12778611,126.9074,광주광역시
1224,35.14072222,126.8913722,광주광역시
1225,35.141428,126.890658,광주광역시
1226,35.182675,126.9187111,광주광역시
1227,35.18252222,126.9187417,광주광역시
1228,35.21468889,126.8760583,광주광역시
1229,35.21454444,126.8757833,광주광역시
1230,35.14376,126.925382,광주광역시
1231,35.143614,126.925678,광주광역시
1232,35.14486111,126.9237806,광주광역시
1233,35.14496389,126.9237333,광주광역시
1234,35.141875,126.924475,광주광역시
1235,35.06123889,126.9863083,광주광역시
1236,35.24458611,126.7401583,광주광역시
1237,35.23847222,126.7385111,광주광역시
1238,35.13013889,126.8550222,광주광역시
1239,35.129686,126.8552,광주광역시
1241,35.144212,126.843859,광주광역시
1242,35.13816944,126.8771056,광주광역시
1243,35.13821667,126.8772361,광주광역시
1245,35.16374167,126.9370222,광주광역시
1246,35.163625,126.9368917,광주광역시
1247,35.21264444,126.8705056,광주광역시
1248,35.21228333,126.8704833,광주광역시
1249,35.17995833,126.914,광주광역시
1250,35.17981667,126.9151361,광주광역시
1251,35.16654444,126.8030528,광주광역시
1252,35.16651389,126.8048833,광주광역시
1253,35.18454167,126.8322167,광주광역시
1254,35.16612778,126.9323222,광주광역시
1255,35.16640278,126.9323139,광주광역시
1256,35.10185,126.9393806,광주광역시
1260,35.13571667,126.8983583,광주광역시
1261,35.136528,126.897252,광주광역시
1262,35.12841111,126.9043694,광주광역시
1263,35.128366,126.904687,광주광역시
1264,35.143225,126.883922,광주광역시
1265,35.1433,126.884116,광주광역시
1266,35.13265833,126.8644528,광주광역시
1267,35.13245556,126.8645056,광주광역시
1268,35.20434722,126.9529639,광주광역시
1269,35.20416389,126.95295,광주광역시
1270,35.20209167,126.9540944,광주광역시
1271,35.20195,126.9539556,광주광역시
1272,35.17190833,126.8631361,광주광역시
1273,35.1721,126.8632361,광주광역시
1275,35.20886389,126.8149833,광주광역시
1276,35.14638056,126.910925,광주광역시
1278,35.24348611,126.8127611,광주광역시
1279,35.17553611,126.8820722,광주광역시
1280,35.14867778,126.7936167,광주광역시
1281,35.14854444,126.7934694,광주광역시
1282,35.18742778,126.8955139,광주광역시
1283,35.18731389,126.8935528,광주광역시
1284,35.16129444,126.9144944,광주광역시
1285,35.16168889,126.914875,광주광역시
1286,35.18421944,126.9236861,광주광역시
1287,35.166875,126.9113972,광주광역시
1288,35.16071111,126.9102139,광주광역시
1289,35.16096667,126.9103222,광주광역시
1290,35.17071111,126.9112444,광주광역시
1291,35.219625,126.8191639,광주광역시
1292,35.21953889,126.8191028,광주광역시
1293,35.145193,126.869428,광주광역시
1294,35.12490278,126.8756639,광주광역시
1295,35.14496111,126.8686611,광주광역시
1296,35.16763611,126.9162111,광주광역시
1297,35.16766667,126.9163639,광주광역시
1299,35.17239722,126.890675,광주광역시
1300,35.17207222,126.8909056,광주광역시
1301,35.15656111,126.8905556,광주광역시
1302,35.15156111,126.8453167,광주광역시
1303,35.15136667,126.845575,광주광역시
1304,35.13419167,126.9552638,광주광역시
1305,35.19016667,126.7425889,광주광역시
1306,35.21918586,126.8789826,광주광역시
1307,35.21922222,126.8786972,광주광역시
1308,35.18729722,126.7372389,광주광역시
1309,35.15203056,126.9306278,광주광역시
1310,35.15169722,126.9307722,광주광역시
1311,35.15031667,126.9449556,광주광역시
1312,35.22938297,126.8853498,광주광역시
1313,35.22720712,126.8841553,광주광역시
1314,35.225484,126.882962,광주광역시
1315,35.225554,126.882764,광주광역시
1316,35.13588056,126.7978806,광주광역시
1320,35.21121389,126.7885194,광주광역시
1321,35.21373056,126.7905556,광주광역시
1322,35.16588056,126.8729861,광주광역시
1323,35.16604167,126.872925,광주광역시
1324,35.11853611,126.8990111,광주광역시
1326,35.27279167,126.833375,광주광역시
1327,35.26213333,126.8222222,광주광역시
1328,35.02795833,127.0344139,광주광역시
1329,35.02800833,127.034275,광주광역시
1330,35.20720556,126.770875,광주광역시
1331,35.00286389,126.9587833,광주광역시
1332,35.02958333,127.048,광주광역시
1333,35.02968889,127.0479389,광주광역시
1334,35.21051667,126.7612556,광주광역시
1336,35.19081667,126.8775472,광주광역시
1338,35.219598,126.84173,광주광역시
1340,35.23809444,126.8604139,광주광역시
1342,35.21703056,126.8314694,광주광역시
1343,35.21501667,126.8346972,광주광역시
1344,35.23869167,126.8627333,광주광역시
1349,35.16986944,126.9269139,광주광역시
1350,35.16990278,126.9272722,광주광역시
1351,35.22179167,126.8455972,광주광역시
1352,35.22194167,126.8454889,광주광역시
1353,35.19346667,126.8770972,광주광역시
1354,35.19333611,126.8768528,광주광역시
1357,35.19744444,126.9535667,광주광역시
1358,35.05823056,126.9924167,광주광역시
1359,35.181975,126.8807,광주광역시
1360,35.18273611,126.8809056,광주광역시
1361,35.25152222,126.8631111,광주광역시
1366,35.15071667,126.9113667,광주광역시
1367,35.161575,126.98065,광주광역시
1368,35.16165833,126.9807972,광주광역시
1369,35.14860833,126.9134417,광주광역시
1370,35.14807778,126.9128694,광주광역시
1371,35.14861111,126.9136167,광주광역시
1372,35.14458333,126.8605083,광주광역시
1373,35.16618771,126.8641064,광주광역시
1374,35.16605833,126.8670583,광주광역시
1375,35.16619167,126.8666694,광주광역시
1376,35.166355,126.864529,광주광역시
1377,35.149429,126.916271,광주광역시
1378,35.19780278,126.8794083,광주광역시
1379,35.197675,126.8789194,광주광역시
1381,35.167725,126.8955056,광주광역시
1382,35.16819444,126.8943306,광주광역시
1383,35.12352222,126.9301722,광주광역시
1384,35.12364722,126.9302583,광주광역시
1385,35.17535278,126.8087,광주광역시
1388,35.17554444,126.8085083,광주광역시
1389,35.17033611,126.803175,광주광역시
1390,35.170228,126.802754,광주광역시
1391,35.21344167,126.8005583,광주광역시
1392,35.22831389,126.8602667,광주광역시
1393,35.23053611,126.8631222,광주광역시
1394,35.23059167,126.8630667,광주광역시
1395,35.16033056,126.987,광주광역시
1396,35.16023056,126.9870833,광주광역시
1397,35.12905833,126.7927167,광주광역시
1398,35.12098056,126.7797472,광주광역시
1399,35.12482222,126.7684417,광주광역시
1401,35.12453056,126.76125,광주광역시
1404,35.16770278,126.6906111,광주광역시
1405,35.24044444,126.7896028,광주광역시
1406,35.2653,126.8386528,광주광역시
1407,35.17273611,126.9177528,광주광역시
1408,35.17294722,126.9173333,광주광역시
1409,35.13033889,126.9327861,광주광역시
1410,35.16975278,126.9110389,광주광역시
1413,35.12419167,126.8649167,광주광역시
1414,35.12391389,126.863575,광주광역시
1416,35.12575556,126.8695611,광주광역시
1417,35.12559167,126.8701389,광주광역시
1418,35.161925,126.929475,광주광역시
1419,35.183328,126.797009,광주광역시
1421,35.216423,126.80132,광주광역시
1422,35.21340833,126.7948972,광주광역시
1423,35.21323611,126.8005056,광주광역시
1424,35.181806,126.795128,광주광역시
1425,35.185214,126.794722,광주광역시
1426,35.14190556,126.9174028,광주광역시
1427,35.19181944,126.6700139,광주광역시
1428,35.13450278,126.9274333,광주광역시
1429,35.134789,126.926928,광주광역시
1430,35.13699722,126.9252611,광주광역시
1431,35.13665556,126.9252972,광주광역시
1432,35.135827,126.921311,광주광역시
1433,35.136048,126.922258,광주광역시
1434,35.13311,126.947922,광주광역시
1435,35.23295833,126.8584361,광주광역시
1436,35.23309167,126.8585444,광주광역시
1437,35.21366667,126.8169583,광주광역시
1438,35.15713056,126.8692556,광주광역시
1439,35.15688056,126.8690722,광주광역시
1440,35.22811667,126.8576806,광주광역시
1441,35.22801111,126.8577972,광주광역시
1442,35.13335278,126.8593778,광주광역시
1443,35.13347778,126.8590944,광주광역시
1444,35.12102778,126.8811417,광주광역시
1445,35.21038889,126.8961611,광주광역시
1446,35.21023333,126.8951611,광주광역시
1447,35.121125,126.8806528,광주광역시
1448,35.19678611,126.7989333,광주광역시
1449,35.15538333,126.8454556,광주광역시
1450,35.15518056,126.8456222,광주광역시
