역위도,역경도
35.107028,126.933932
35.124108,126.932013
35.133023,126.928382
35.1384,126.921807
35.14661,126.92005
35.150976,126.914446
35.15318,126.910933
35.154176,126.904489
35.152047,126.895637
35.153563,126.883973
35.1525,126.877698
35.151793,126.869519
35.150486,126.858694
35.146784,126.848641
35.143214,126.841442
35.144179,126.81153
35.143565,126.799245
35.137529,126.791488
35.131713,126.787942
35.1247,126.769586
